Voter ID,Vote ID,Vote TTL,Votes for: 政を祭に変える #vote_forプロジェクト,Votes for: 淡路島クエストカレッジ,Votes for: イナトリアートセンター計画,Votes for: JINEN TRAVEL,Votes for: ビオ田んぼプロジェクト,Votes for: パラ旅応援団,Votes for: 10代・20代の「いま、やりたい」を後押しする拠点　ちばユースセンターPRISM
d4055a1e-6033-45c0-89d2-b3a8f8a662ac,b45400db-5cbd-4bc3-9027-72f10610cd4a,1746238207,5,1,5,2,2,2,6
19395b4b-943e-4b3f-8ebe-584e11976a89,a8c7d4c5-78f0-4910-8188-d2f20dd2493d,1746238207,3,1,4,8,3,0,0
708f197e-50e5-49be-9ba1-df51af9fa2ab,3e0b26ad-e18e-497f-83e7-d1eafbfaf889,1746238207,3,4,4,3,4,4,4
9f211b49-8a8b-444b-a830-8c757b92f967,c65668af-05ff-4562-89d2-07f985de3bf3,1746238207,2,1,1,1,1,3,9
de7586c4-9eb6-4fc9-b071-afee111a1df1,aacfbf69-ddd2-474b-bcd4-f37096b0eab5,1746238207,3,5,2,3,3,2,6
63b7624e-8891-42cf-af77-c62b4e34fd36,ba901dbb-2538-48c6-821b-4a924c3a0271,1746238207,0,0,0,0,0,9,0
754a284b-37fc-4dca-be39-53e081d2efea,a75394d2-f2fa-41af-9788-bb3d26d7374a,1746238207,4,2,2,6,5,2,3
2957c454-0ebf-4766-a889-4e90038296d6,d69a52ea-373f-43a1-828f-e1be2d7adf81,1746238207,0,5,4,1,1,1,6
5cda1ab6-0b73-43f7-9021-361519f073ee,9cfc2095-e239-449f-89b2-fd45db556543,1746238207,0,7,5,5,0,0,0
af599f88-3b0f-4729-ba6e-6f4034bbb5eb,3019627f-04d5-4529-9b68-8ef240f2344e,1746238207,1,1,8,4,0,4,1
6238c7cc-41b0-472a-9926-545b7fba995f,350d0da9-9569-436e-835a-97e8a81e2572,1746238207,3,5,2,3,4,3,5
6c451cde-f197-4f8d-8cb4-0d50bfdef79d,41c47a15-64c8-41b9-964b-79cbfb6490b3,1746238207,7,0,1,1,2,6,0
a92ae152-02e0-4a9b-b11a-af3261e94bf5,035e1360-d95a-4471-8fc0-0966eaca8fea,1746238207,0,0,4,0,6,1,6
39df0fc7-dc6b-49ef-88f9-342b7ae35cc8,ca360151-eaa3-42b6-a9a5-610e676dd0f7,1746238207,2,4,1,0,-1,6,6
